Person_ID,Time_In_Date,Time_In,Time_Out_Date,Time_Out,Break_Hours,Hours_In_Work,Hours_Worked,Hours_Scheduled,Status
P0000101,02/01/2023,7:50:42 am,02/01/2023,4:08:39 pm,0.5,8.3,7.8,7.5,Approved
P0000101,03/01/2023,8:04:47 am,03/01/2023,4:04:56 pm,0.5,8,7.5,7.5,Approved
P0000101,04/01/2023,8:09:29 am,04/01/2023,4:01:19 pm,0.5,7.86,7.36,7.5,Approved
P0000101,05/01/2023,8:00:33 am,05/01/2023,4:00:10 pm,0.5,7.99,7.49,7.5,Approved
P0000101,06/01/2023,8:00:08 am,06/01/2023,4:00:21 pm,0.5,8,7.5,7.5,Approved
P0000101,09/01/2023,7:56:35 am,09/01/2023,4:04:36 pm,0.5,8.13,7.63,7.5,Approved
P0000101,10/01/2023,7:55:41 am,10/01/2023,4:06:23 pm,0.5,8.18,7.68,7.5,Approved
P0000101,11/01/2023,8:10:20 am,11/01/2023,4:08:34 pm,0.5,7.97,7.47,7.5,Approved
P0000101,12/01/2023,8:01:21 am,12/01/2023,4:05:28 pm,0.5,8.07,7.57,7.5,Approved
P0000101,13/01/2023,7:59:10 am,13/01/2023,4:00:09 pm,0.5,8.02,7.52,7.5,Approved
P0000101,16/01/2023,8:02:13 am,16/01/2023,4:10:48 pm,0.5,8.14,7.64,7.5,Approved
P0000101,17/01/2023,7:52:04 am,17/01/2023,4:03:03 pm,0.5,8.18,7.68,7.5,Approved
P0000101,18/01/2023,7:58:07 am,18/01/2023,4:01:35 pm,0.5,8.06,7.56,7.5,Approved
P0000101,19/01/2023,8:05:57 am,19/01/2023,4:00:22 pm,0.5,7.91,7.41,7.5,Approved
P0000101,20/01/2023,8:05:13 am,20/01/2023,4:01:34 pm,0.5,7.94,7.44,7.5,Approved
P0000101,23/01/2023,8:09:13 am,23/01/2023,4:03:34 pm,0.5,7.91,7.41,7.5,Approved
P0000101,24/01/2023,8:07:56 am,24/01/2023,4:02:30 pm,0.5,7.91,7.41,7.5,Approved
P0000101,25/01/2023,8:07:04 am,25/01/2023,4:07:11 pm,0.5,8,7.5,7.5,Approved
P0000101,26/01/2023,7:56:50 am,26/01/2023,4:01:19 pm,0.5,8.07,7.57,7.5,Approved
P0000101,27/01/2023,8:09:39 am,27/01/2023,4:01:52 pm,0.5,7.87,7.37,7.5,Approved
P0000101,30/01/2023,7:54:57 am,30/01/2023,4:04:17 pm,0.5,8.16,7.66,7.5,Approved
P0000101,31/01/2023,7:56:00 am,31/01/2023,4:08:20 pm,0.5,8.21,7.71,7.5,Approved
P0000101,01/02/2023,7:57:59 am,01/02/2023,4:01:23 pm,0.5,8.06,7.56,7.5,Approved
P0000101,02/02/2023,8:00:30 am,02/02/2023,4:05:39 pm,0.5,8.09,7.59,7.5,Approved
P0000101,03/02/2023,8:01:40 am,03/02/2023,4:03:57 pm,0.5,8.04,7.54,7.5,Approved
P0000101,06/02/2023,7:58:20 am,06/02/2023,4:06:52 pm,0.5,8.14,7.64,7.5,Approved
P0000101,07/02/2023,8:01:39 am,07/02/2023,4:03:58 pm,0.5,8.04,7.54,7.5,Approved
P0000101,08/02/2023,8:10:21 am,08/02/2023,4:01:01 pm,0.5,7.84,7.34,7.5,Approved
P0000101,09/02/2023,8:06:13 am,09/02/2023,4:09:36 pm,0.5,8.06,7.56,7.5,Approved
P0000101,10/02/2023,8:08:58 am,10/02/2023,4:04:20 pm,0.5,7.92,7.42,7.5,Approved
P0000101,13/02/2023,8:06:10 am,13/02/2023,4:04:40 pm,0.5,7.98,7.48,7.5,Approved
P0000101,14/02/2023,7:55:25 am,14/02/2023,4:02:33 pm,0.5,8.12,7.62,7.5,Approved
P0000101,15/02/2023,8:10:10 am,15/02/2023,4:05:56 pm,0.5,7.93,7.43,7.5,Approved
P0000101,16/02/2023,8:03:18 am,16/02/2023,4:03:10 pm,0.5,8,7.5,7.5,Approved
P0000101,17/02/2023,8:08:35 am,17/02/2023,4:09:59 pm,0.5,8.02,7.52,7.5,Approved
P0000101,20/02/2023,7:56:33 am,20/02/2023,4:03:48 pm,0.5,8.12,7.62,7.5,Approved
P0000101,21/02/2023,8:05:45 am,21/02/2023,4:09:15 pm,0.5,8.06,7.56,7.5,Approved
P0000101,22/02/2023,8:08:55 am,22/02/2023,4:03:32 pm,0.5,7.91,7.41,7.5,Approved
P0000101,23/02/2023,7:51:35 am,23/02/2023,4:00:15 pm,0.5,8.14,7.64,7.5,Approved
P0000101,24/02/2023,7:53:02 am,24/02/2023,4:02:06 pm,0.5,8.15,7.65,7.5,Approved
P0000101,27/02/2023,8:03:40 am,27/02/2023,4:08:30 pm,0.5,8.08,7.58,7.5,Approved
P0000101,28/02/2023,7:50:30 am,28/02/2023,4:00:24 pm,0.5,8.16,7.66,7.5,Approved
P0000101,01/03/2023,7:58:02 am,01/03/2023,4:07:26 pm,0.5,8.16,7.66,7.5,Approved
P0000101,02/03/2023,7:59:25 am,02/03/2023,4:03:56 pm,0.5,8.08,7.58,7.5,Approved
P0000101,03/03/2023,7:52:52 am,03/03/2023,4:02:50 pm,0.5,8.17,7.67,7.5,Approved
P0000101,06/03/2023,7:57:31 am,06/03/2023,4:02:50 pm,0.5,8.09,7.59,7.5,Approved
P0000101,07/03/2023,7:53:33 am,07/03/2023,4:10:16 pm,0.5,8.28,7.78,7.5,Approved
P0000101,08/03/2023,7:56:42 am,08/03/2023,4:00:44 pm,0.5,8.07,7.57,7.5,Approved
P0000101,09/03/2023,7:58:57 am,09/03/2023,4:04:54 pm,0.5,8.1,7.6,7.5,Approved
P0000101,10/03/2023,7:56:26 am,10/03/2023,4:07:18 pm,0.5,8.18,7.68,7.5,Approved
P0000101,13/03/2023,7:51:36 am,13/03/2023,4:02:20 pm,0.5,8.18,7.68,7.5,Approved
P0000101,14/03/2023,7:58:26 am,14/03/2023,4:02:17 pm,0.5,8.06,7.56,7.5,Approved
P0000101,15/03/2023,7:55:55 am,15/03/2023,4:09:24 pm,0.5,8.22,7.72,7.5,Approved
P0000101,16/03/2023,8:00:00 am,16/03/2023,4:05:11 pm,0.5,8.09,7.59,7.5,Approved
P0000101,17/03/2023,7:49:48 am,17/03/2023,4:05:03 pm,0.5,8.25,7.75,7.5,Approved
P0000101,20/03/2023,7:56:28 am,20/03/2023,4:08:58 pm,0.5,8.21,7.71,7.5,Approved
P0000101,21/03/2023,7:53:59 am,21/03/2023,4:02:38 pm,0.5,8.14,7.64,7.5,Approved
P0000101,22/03/2023,7:52:55 am,22/03/2023,4:03:20 pm,0.5,8.17,7.67,7.5,Approved
P0000101,23/03/2023,7:52:17 am,23/03/2023,4:00:27 pm,0.5,8.14,7.64,7.5,Approved
P0000101,24/03/2023,7:54:39 am,24/03/2023,4:08:07 pm,0.5,8.22,7.72,7.5,Approved
P0000101,27/03/2023,7:55:10 am,27/03/2023,4:08:33 pm,0.5,8.22,7.72,7.5,Approved
P0000101,28/03/2023,7:56:07 am,28/03/2023,4:09:56 pm,0.5,8.23,7.73,7.5,Approved
P0000101,29/03/2023,8:03:39 am,29/03/2023,4:07:19 pm,0.5,8.06,7.56,7.5,Approved
P0000101,30/03/2023,8:10:46 am,30/03/2023,4:05:10 pm,0.5,7.91,7.41,7.5,Approved
P0000101,31/03/2023,7:51:33 am,31/03/2023,4:04:08 pm,0.5,8.21,7.71,7.5,Approved
P0000101,03/04/2023,7:52:46 am,03/04/2023,4:03:48 pm,0.5,8.18,7.68,7.5,Approved
P0000101,04/04/2023,7:58:14 am,04/04/2023,4:01:24 pm,0.5,8.05,7.55,7.5,Approved
P0000101,05/04/2023,8:03:19 am,05/04/2023,4:01:30 pm,0.5,7.97,7.47,7.5,Approved
P0000101,06/04/2023,8:07:47 am,06/04/2023,4:10:12 pm,0.5,8.04,7.54,7.5,Approved
P0000101,07/04/2023,8:05:34 am,07/04/2023,4:02:34 pm,0.5,7.95,7.45,7.5,Approved
P0000101,10/04/2023,7:59:54 am,10/04/2023,4:10:27 pm,0.5,8.18,7.68,7.5,Approved
P0000101,11/04/2023,7:57:53 am,11/04/2023,4:02:48 pm,0.5,8.08,7.58,7.5,Approved
P0000101,12/04/2023,8:03:52 am,12/04/2023,4:05:59 pm,0.5,8.04,7.54,7.5,Approved
P0000101,13/04/2023,8:09:22 am,13/04/2023,4:03:44 pm,0.5,7.91,7.41,7.5,Approved
P0000101,14/04/2023,7:57:51 am,14/04/2023,4:01:02 pm,0.5,8.05,7.55,7.5,Approved
P0000101,17/04/2023,8:07:30 am,17/04/2023,4:05:10 pm,0.5,7.96,7.46,7.5,Approved
P0000101,18/04/2023,7:49:19 am,18/04/2023,4:05:06 pm,0.5,8.26,7.76,7.5,Approved
P0000101,19/04/2023,8:03:31 am,19/04/2023,4:00:07 pm,0.5,7.94,7.44,7.5,Approved
P0000101,20/04/2023,8:00:50 am,20/04/2023,4:07:55 pm,0.5,8.12,7.62,7.5,Approved
P0000101,21/04/2023,7:55:14 am,21/04/2023,4:04:45 pm,0.5,8.16,7.66,7.5,Approved
P0000101,24/04/2023,8:06:20 am,24/04/2023,4:08:59 pm,0.5,8.04,7.54,7.5,Approved
P0000101,25/04/2023,8:01:04 am,25/04/2023,4:05:35 pm,0.5,8.08,7.58,7.5,Approved
P0000101,26/04/2023,8:02:28 am,26/04/2023,4:08:36 pm,0.5,8.1,7.6,7.5,Approved
P0000101,27/04/2023,8:02:55 am,27/04/2023,4:03:22 pm,0.5,8.01,7.51,7.5,Approved
P0000101,28/04/2023,8:00:06 am,28/04/2023,4:00:19 pm,0.5,8,7.5,7.5,Approved
P0000101,01/05/2023,8:04:39 am,01/05/2023,4:07:43 pm,0.5,8.05,7.55,7.5,Approved
P0000101,02/05/2023,8:07:21 am,02/05/2023,4:03:23 pm,0.5,7.93,7.43,7.5,Approved
P0000101,03/05/2023,8:00:29 am,03/05/2023,4:09:17 pm,0.5,8.15,7.65,7.5,Approved
P0000101,04/05/2023,7:55:34 am,04/05/2023,4:05:01 pm,0.5,8.16,7.66,7.5,Approved
P0000101,05/05/2023,8:07:37 am,05/05/2023,4:08:21 pm,0.5,8.01,7.51,7.5,Approved
P0000101,08/05/2023,8:03:00 am,08/05/2023,4:07:16 pm,0.5,8.07,7.57,7.5,Approved
P0000101,09/05/2023,7:53:29 am,09/05/2023,4:09:03 pm,0.5,8.26,7.76,7.5,Approved
P0000101,10/05/2023,7:49:05 am,10/05/2023,4:03:22 pm,0.5,8.24,7.74,7.5,Approved
P0000101,11/05/2023,8:10:55 am,11/05/2023,4:01:20 pm,0.5,7.84,7.34,7.5,Approved
P0000101,12/05/2023,8:03:37 am,12/05/2023,4:06:33 pm,0.5,8.05,7.55,7.5,Approved
P0000101,15/05/2023,7:53:59 am,15/05/2023,4:10:37 pm,0.5,8.28,7.78,7.5,Approved
P0000101,16/05/2023,8:04:02 am,16/05/2023,4:07:43 pm,0.5,8.06,7.56,7.5,Approved
P0000101,17/05/2023,8:09:44 am,17/05/2023,4:02:27 pm,0.5,7.88,7.38,7.5,Approved
P0000101,18/05/2023,7:59:19 am,18/05/2023,4:05:18 pm,0.5,8.1,7.6,7.5,Approved
P0000101,19/05/2023,8:04:55 am,19/05/2023,4:09:03 pm,0.5,8.07,7.57,7.5,Approved
P0000101,22/05/2023,8:06:15 am,22/05/2023,4:10:43 pm,0.5,8.07,7.57,7.5,Approved
P0000101,23/05/2023,7:50:33 am,23/05/2023,4:08:44 pm,0.5,8.3,7.8,7.5,Approved
P0000101,24/05/2023,8:01:04 am,24/05/2023,4:09:20 pm,0.5,8.14,7.64,7.5,Approved
P0000101,25/05/2023,8:10:54 am,25/05/2023,4:08:59 pm,0.5,7.97,7.47,7.5,Approved
P0000101,26/05/2023,7:58:46 am,26/05/2023,4:09:38 pm,0.5,8.18,7.68,7.5,Approved
P0000101,29/05/2023,8:10:47 am,29/05/2023,4:06:52 pm,0.5,7.93,7.43,7.5,Approved
P0000101,30/05/2023,7:52:11 am,30/05/2023,4:05:55 pm,0.5,8.23,7.73,7.5,Approved
P0000101,31/05/2023,8:08:00 am,31/05/2023,4:07:23 pm,0.5,7.99,7.49,7.5,Approved
P0000101,01/06/2023,7:54:06 am,01/06/2023,4:00:28 pm,0.5,8.11,7.61,7.5,Approved
P0000101,02/06/2023,7:57:38 am,02/06/2023,4:04:21 pm,0.5,8.11,7.61,7.5,Approved
P0000101,05/06/2023,8:02:34 am,05/06/2023,4:10:00 pm,0.5,8.12,7.62,7.5,Approved
P0000101,06/06/2023,7:56:47 am,06/06/2023,4:06:51 pm,0.5,8.17,7.67,7.5,Approved
P0000101,07/06/2023,8:05:11 am,07/06/2023,4:00:46 pm,0.5,7.93,7.43,7.5,Approved
P0000101,08/06/2023,7:51:20 am,08/06/2023,4:06:37 pm,0.5,8.25,7.75,7.5,Approved
P0000101,09/06/2023,8:02:27 am,09/06/2023,4:04:18 pm,0.5,8.03,7.53,7.5,Approved
P0000101,12/06/2023,7:53:01 am,12/06/2023,4:00:22 pm,0.5,8.12,7.62,7.5,Approved
P0000101,13/06/2023,7:54:44 am,13/06/2023,4:00:29 pm,0.5,8.1,7.6,7.5,Approved
P0000101,14/06/2023,8:03:22 am,14/06/2023,4:08:59 pm,0.5,8.09,7.59,7.5,Approved
P0000101,15/06/2023,7:56:19 am,15/06/2023,4:10:16 pm,0.5,8.23,7.73,7.5,Approved
P0000101,16/06/2023,7:50:49 am,16/06/2023,4:01:50 pm,0.5,8.18,7.68,7.5,Approved
P0000101,19/06/2023,8:07:40 am,19/06/2023,4:05:56 pm,0.5,7.97,7.47,7.5,Approved
P0000101,20/06/2023,8:00:39 am,20/06/2023,4:10:12 pm,0.5,8.16,7.66,7.5,Approved
P0000101,21/06/2023,8:10:32 am,21/06/2023,4:06:43 pm,0.5,7.94,7.44,7.5,Approved
P0000101,22/06/2023,7:59:47 am,22/06/2023,4:08:45 pm,0.5,8.15,7.65,7.5,Approved
P0000101,23/06/2023,7:59:12 am,23/06/2023,4:01:12 pm,0.5,8.03,7.53,7.5,Approved
P0000101,26/06/2023,8:07:24 am,26/06/2023,4:05:00 pm,0.5,7.96,7.46,7.5,Approved
P0000101,27/06/2023,7:56:49 am,27/06/2023,4:06:00 pm,0.5,8.15,7.65,7.5,Approved
P0000101,28/06/2023,7:54:55 am,28/06/2023,4:03:48 pm,0.5,8.15,7.65,7.5,Approved
P0000101,29/06/2023,8:01:34 am,29/06/2023,4:01:09 pm,0.5,7.99,7.49,7.5,Approved
P0000101,30/06/2023,7:56:36 am,30/06/2023,4:01:45 pm,0.5,8.09,7.59,7.5,Approved
P0000101,03/07/2023,8:05:45 am,03/07/2023,4:07:26 pm,0.5,8.03,7.53,7.5,Approved
P0000101,04/07/2023,7:53:27 am,04/07/2023,4:05:12 pm,0.5,8.2,7.7,7.5,Approved
P0000101,05/07/2023,8:03:18 am,05/07/2023,4:08:34 pm,0.5,8.09,7.59,7.5,Approved
P0000101,06/07/2023,8:01:42 am,06/07/2023,4:02:46 pm,0.5,8.02,7.52,7.5,Approved
P0000101,07/07/2023,8:06:30 am,07/07/2023,4:00:33 pm,0.5,7.9,7.4,7.5,Approved
P0000101,10/07/2023,7:56:50 am,10/07/2023,4:02:01 pm,0.5,8.09,7.59,7.5,Approved
P0000101,11/07/2023,8:00:39 am,11/07/2023,4:10:44 pm,0.5,8.17,7.67,7.5,Approved
P0000101,12/07/2023,7:53:36 am,12/07/2023,4:04:38 pm,0.5,8.18,7.68,7.5,Approved
P0000101,13/07/2023,7:51:04 am,13/07/2023,4:01:04 pm,0.5,8.17,7.67,7.5,Approved
P0000101,14/07/2023,8:10:39 am,14/07/2023,4:06:58 pm,0.5,7.94,7.44,7.5,Approved
P0000101,17/07/2023,7:58:48 am,17/07/2023,4:00:40 pm,0.5,8.03,7.53,7.5,Approved
P0000101,18/07/2023,8:00:13 am,18/07/2023,4:00:15 pm,0.5,8,7.5,7.5,Approved
P0000101,19/07/2023,7:54:30 am,19/07/2023,4:10:04 pm,0.5,8.26,7.76,7.5,Approved
P0000101,20/07/2023,8:03:00 am,20/07/2023,4:02:44 pm,0.5,8,7.5,7.5,Approved
